profile	status	gene_id	old_profile_score	new_profile_score	score_change	old_rank	new_rank	trimming_class	trimming_stability_score	coverage_score	clade_balance_score	alignment_score	information_score	rate_score	bias_penalty	taxon_occupancy	alignment_length	gap_fraction	parsimony_informative_sites	pis_per_length	composition_variability
backbone_balanced	added	EOG09262SI7	0.3689058082446598	0.5036541512800999	0.13474834303544014	40	24	stable	1.0	0.6510179724571254	0.0	0.5627591808297923	0.9402579575420544	-0.64924598530687	-0.249199705742886	1.0	543	0.0019731649565903	288	0.5303867403314917	0.0057541479025703
backbone_balanced	added	EOG09261HB6	0.3823083250702111	0.4737810889669631	0.09147276389675196	33	39	signal_preserved	0.91660777385159	0.8301275298493733	0.0	0.6706497975934236	-0.0076775406048095	0.9334181399124826	-0.5785664969669759	1.0	504	0.0025510204081632	199	0.3948412698412698	0.0048611374666775
backbone_balanced	added	EOG09262JZK	0.2210132377527034	0.4051642078997161	0.18415097014701268	166	92	stable	1.0	0.8486274277161571	0.0	0.4809665236994042	-0.6568252094967747	-0.0313645270255264	-0.730897867308874	1.0	361	0.001978630787495	113	0.3130193905817174	0.004350946981803
backbone_balanced	removed	EOG092609O9	0.5018084798437235	0.5759381796454505	0.07412969980172701	7	8	stable	1.0	0.2319441036144859	0.0	1.8684320483239223	0.5115403908355506	0.9973016199757736	-0.7306661481937102	1.0	1835	0.0035033086804203	773	0.4212534059945504	0.003009633333073
backbone_balanced	removed	EOG092602I6	0.4012288737214252	0.522471756899611	0.12124288317818582	24	16	stable	1.0	0.1858640270295098	0.0	1.826160823433747	0.0493137720225636	0.5106894862860604	-0.943004988498303	1.0	1898	0.0035751919313563	678	0.357218124341412	0.002112352497364
backbone_balanced	removed	EOG092603YJ	0.4048202509178543	0.4963079334807022	0.0914876825628479	22	27	stable	1.0	-0.2178850253454518	0.0	1.8595066591301648	0.8952509897487768	0.2425096669066881	-0.6465618394532557	0.9285714285714286	1767	0.0018719254712463	823	0.4657611771363893	0.0033756803713369
core_complete	added	EOG09264SSI	0.7375623296944008	0.7372267570727356	-0.000335572621665281	10	9	stable	1.0	1.0130533814803162	0.0	0.4248761599470503	-0.132141705190354	0.955660212526248	-0.2361732661981234	1.0	218	0.0062254259501965	84	0.3853211009174312	0.006370241264924
core_complete	added	EOG09263UQF	0.6175057870935327	0.6448654448182743	0.027359657724741693	37	29	stable	1.0	0.7531619733677498	0.0	0.4582344306826574	-0.021749008473938	0.8974747034182367	-0.4319367268547469	1.0	406	0.0058057705840957	156	0.3842364532019704	0.0051137373526093
core_complete	added	EOG09263BGW	0.6586050778257923	0.6382324092811655	-0.020372668544626715	19	31	stable	1.0	0.7705680819965203	0.0	0.7213390428080159	-0.4076214632392569	0.1646179255433506	-0.5948042773577287	1.0	577	0.0060658578856152	207	0.3587521663778163	0.0045259260743135
core_complete	removed	EOG092609O9	0.801121286151929	0.7656136837833325	-0.035507602368596514	5	7	stable	1.0	0.2319441036144859	0.0	1.8684320483239223	0.5115403908355506	0.9973016199757736	-0.7306661481937102	1.0	1835	0.0035033086804203	773	0.4212534059945504	0.003009633333073
core_complete	removed	EOG09260BSW	0.7590688713772795	0.7066227110179806	-0.05244616035929894	8	13	stable	1.0	0.5864118070282779	0.0	1.2924168412071249	-0.266678208843933	0.3201244571246591	-0.8983125528398166	1.0	1089	0.0063623245441427	357	0.3278236914600551	0.0029901710444163
core_complete	removed	EOG092602I6	0.7266461925096506	0.6764870777915034	-0.05015911471814716	12	19	stable	1.0	0.1858640270295098	0.0	1.826160823433747	0.0493137720225636	0.5106894862860604	-0.943004988498303	1.0	1898	0.0035751919313563	678	0.357218124341412	0.002112352497364
deep_robust	added	EOG09261HB6	0.5253475042874481	0.6228257113842978	0.09747820709684962	20	15	signal_preserved	0.91660777385159	0.8301275298493733	0.0	0.6706497975934236	-0.0076775406048095	0.9334181399124826	-0.5785664969669759	1.0	504	0.0025510204081632	199	0.3948412698412698	0.0048611374666775
deep_robust	added	EOG09263UQF	0.4393293451881339	0.586840052039337	0.1475107068512031	55	35	stable	1.0	0.7531619733677498	0.0	0.4582344306826574	-0.021749008473938	0.8974747034182367	-0.4319367268547469	1.0	406	0.0058057705840957	156	0.3842364532019704	0.0051137373526093
deep_robust	removed	EOG09260779	0.6487757440643944	0.6613864106627433	0.012610666598348863	5	9	stable	1.0	0.5030716965215334	0.0	1.657067918940088	1.129341416511146	-0.0437144767849152	-0.7491113807136012	1.0	1394	0.0013834802213568	733	0.5258249641319943	0.0035925381924847
deep_robust	removed	EOG092603YJ	0.5529424440249507	0.6097103365638117	0.05676789253886094	15	22	stable	1.0	-0.2178850253454518	0.0	1.8595066591301648	0.8952509897487768	0.2425096669066881	-0.6465618394532557	0.9285714285714286	1767	0.0018719254712463	823	0.4657611771363893	0.0033756803713369
